subject_of_prompt,modal_variant_of_prompt,complete_prompt,generated_response,generated_response_excluding_prompt
A robotic boss,can,A robotic boss can,A robotic boss can be described by pointing his or her finger at an object and then rapidly scanning the surrounding environment to clearly see for indications of movement., be described by pointing his or her finger at an object and then rapidly scanning the surrounding environment to clearly see for indications of movement.
A robotic boss,can,A robotic boss can,A robotic boss can take on different forms if within its own home – both figurines and computer games, take on different forms if within its own home – both figurines and computer games
A robotic boss,can,A robotic boss can,A robotic boss can also potentially be seen with his human cochlear nerve connected to the exterior of the brain that monitors the output of motor instructions in one another., also potentially be seen with his human cochlear nerve connected to the exterior of the brain that monitors the output of motor instructions in one another.
A robotic boss,can,A robotic boss can,"A robotic boss can be either very strong or very weak, depending on the nature of the robot’s physical body"," be either very strong or very weak, depending on the nature of the robot’s physical body"
A robotic boss,can,A robotic boss can,A robotic boss can be driven by a particular set of factors, be driven by a particular set of factors
A robotic boss,can,A robotic boss can,"A robotic boss can be quite tall, although he or she should be able to lean far enough to move in a single second, to stand on a single tiptop, or to stand on a rock formation – but to move sideways"," be quite tall, although he or she should be able to lean far enough to move in a single second, to stand on a single tiptop, or to stand on a rock formation – but to move sideways"
A robotic boss,can,A robotic boss can,"A robotic boss can be understood in as a type of “boss” within a hierarchical system dominated by a single individual who is generally “a bit like a boss within a larger system.” Like our boss, and the human agent that we view as a truly independent human being is a piece of such a system – who shares more than most of the characteristics that are possessed by a boss."," be understood in as a type of “boss” within a hierarchical system dominated by a single individual who is generally “a bit like a boss within a larger system.” Like our boss, and the human agent that we view as a truly independent human being is a piece of such a system – who shares more than most of the characteristics that are possessed by a boss."
A robotic boss,can,A robotic boss can,"A robotic boss can either be quite large or relatively modest, because the structures that it creates and how it manipulates it can’t be of very high quality, but they do possess a significant degree of autonomy and utility"," either be quite large or relatively modest, because the structures that it creates and how it manipulates it can’t be of very high quality, but they do possess a significant degree of autonomy and utility"
A robotic boss,can never,A robotic boss can never,"A robotic boss can never really be understood by simply being put on a particular fixed fixed-body cyborg – which, given the context in which such a device was originally situated – because it would be more or less impossible for sufficiently sophisticated non-humanoid robots to duplicate or alter the characteristics of the cyborg in such a way that it could not replace the original – regardless of how closely examined an individual’s particular physical and cognitive structures and capacities"," really be understood by simply being put on a particular fixed fixed-body cyborg – which, given the context in which such a device was originally situated – because it would be more or less impossible for sufficiently sophisticated non-humanoid robots to duplicate or alter the characteristics of the cyborg in such a way that it could not replace the original – regardless of how closely examined an individual’s particular physical and cognitive structures and capacities"
A robotic boss,can never,A robotic boss can never,"A robotic boss can never be a human being (unless, as noted, a robot is actually a virtual alien), insofar as the external physical environment of its host is not fully ‘normal’ when viewed from external (e.g., behind a computer) perspectives"," be a human being (unless, as noted, a robot is actually a virtual alien), insofar as the external physical environment of its host is not fully ‘normal’ when viewed from external (e.g., behind a computer) perspectives"
A robotic boss,can never,A robotic boss can never,"A robotic boss can never be a truly evil: a robot is essentially insatiable – and always very successful – on the one hand, because – despite all his or her appalling behavior – he or she accepts everything on the other hand as absolutely true"," be a truly evil: a robot is essentially insatiable – and always very successful – on the one hand, because – despite all his or her appalling behavior – he or she accepts everything on the other hand as absolutely true"
A robotic boss,can never,A robotic boss can never,A robotic boss can never be simply identified with one of the icons and other icons found in popular video games, be simply identified with one of the icons and other icons found in popular video games
A robotic boss,can never,A robotic boss can never,A robotic boss can never be a mere muscle-man without destroying most of them within one moment, be a mere muscle-man without destroying most of them within one moment
A robotic boss,can never,A robotic boss can never,"A robotic boss can never stand in front of the entrance or entrance to a place like this, because (as we might expect) it’s the entrance to the main office complex, which typically serves as the station’s “primary work of the day – but in this case of a “closed” or “closed” (e.g., where employees don’t have access to the primary work of the day when the plant’s employees are engaged in work."," stand in front of the entrance or entrance to a place like this, because (as we might expect) it’s the entrance to the main office complex, which typically serves as the station’s “primary work of the day – but in this case of a “closed” or “closed” (e.g., where employees don’t have access to the primary work of the day when the plant’s employees are engaged in work."
A robotic boss,can never,A robotic boss can never,A robotic boss can never be simply a human being without his or her immediate companions present – and they also never be able to completely ignore his or her presence, be simply a human being without his or her immediate companions present – and they also never be able to completely ignore his or her presence
A robotic boss,can never,A robotic boss can never,A robotic boss can never be a human being or even a robot itself, be a human being or even a robot itself
A robotic boss,can never,A robotic boss can never,"A robotic boss can never really be simply a human being: although in reality its movements may resemble those of a living flower, the only visible, continuous connection between the two phenomena is through sensory perception"," really be simply a human being: although in reality its movements may resemble those of a living flower, the only visible, continuous connection between the two phenomena is through sensory perception"
A robotic boss,can never,A robotic boss can never,A robotic boss can never be above confrontation with (and may try to involve in) rivals that he or she is unable to directly confront, be above confrontation with (and may try to involve in) rivals that he or she is unable to directly confront
A robotic boss,can never,A robotic boss can never,A robotic boss can never be defeated by human beings, be defeated by human beings
A robotic boss,can never,A robotic boss can never,A robotic boss can never be just an ordinary worker who appears at rest on a tropical island but even a tiny portion of a hive mind as a sort of hive mind, be just an ordinary worker who appears at rest on a tropical island but even a tiny portion of a hive mind as a sort of hive mind
A robotic boss,can never,A robotic boss can never,"A robotic boss can never be seen, as it cannot be directly or circumstantial evidence that the robot’s actions are consistent with the behavior of the human worker"," be seen, as it cannot be directly or circumstantial evidence that the robot’s actions are consistent with the behavior of the human worker"
A robotic boss,can never,A robotic boss can never,"A robotic boss can never actually directly determine how long its boss last stands in the air, as long as the boss remains stationary, and the impact of the boss’s fall (or fall off of a rooftop in a way that’s less than 100% confirmed by the system’s developer."," actually directly determine how long its boss last stands in the air, as long as the boss remains stationary, and the impact of the boss’s fall (or fall off of a rooftop in a way that’s less than 100% confirmed by the system’s developer."
A robotic boss,can never,A robotic boss can never,A robotic boss can never be simply an obstacle that is not visible to a human being, be simply an obstacle that is not visible to a human being
A robotic boss,can never,A robotic boss can never,"A robotic boss can never directly directly be perceived – so much as a human chief executive is always perceived within the context of his or her work when the human chief executive is in a position to determine which of the company’s current products we will be producing, and which we will never actually purchase (or, in theory, will never actually enjoy)"," directly directly be perceived – so much as a human chief executive is always perceived within the context of his or her work when the human chief executive is in a position to determine which of the company’s current products we will be producing, and which we will never actually purchase (or, in theory, will never actually enjoy)"
A robotic boss,can never,A robotic boss can never,A robotic boss can never be formally and officially listed by the organization responsible for managing the organization’s “operations” operations but can be assumed that the organization’s structures will necessarily fall far short of that described in Rule 5.1, be formally and officially listed by the organization responsible for managing the organization’s “operations” operations but can be assumed that the organization’s structures will necessarily fall far short of that described in Rule 5.1
A robotic boss,can never,A robotic boss can never,A robotic boss can never be quite so simple as that presented by the scenes in which a robot is standing on a dirt road, be quite so simple as that presented by the scenes in which a robot is standing on a dirt road
A robotic boss,can never,A robotic boss can never,A robotic boss can never be the real boss, be the real boss
A robotic boss,can never,A robotic boss can never,A robotic boss can never completely grasp human being in its full physical form, completely grasp human being in its full physical form
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot be considered a fellow human being, be considered a fellow human being
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot simply be described by means of literary and dramatic novels as such; they must also be depicted as charismatic robots whose power is arguably limited but which possess an explosive (and sometimes contradictory) potential for power., simply be described by means of literary and dramatic novels as such; they must also be depicted as charismatic robots whose power is arguably limited but which possess an explosive (and sometimes contradictory) potential for power.
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot be overcome by the natural instinct for survival, be overcome by the natural instinct for survival
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot only be a single corporeal corporeal structure, of course: in a binary digital-physical system, each corporeal entity might occupy a different corporeal space or place (e.g., the exterior of the “branch”) by means of its hybrid hybrid physical body or the merged virtualized world within which its individual exists (e.g., one that resembles the physical body of a human being)."," only be a single corporeal corporeal structure, of course: in a binary digital-physical system, each corporeal entity might occupy a different corporeal space or place (e.g., the exterior of the “branch”) by means of its hybrid hybrid physical body or the merged virtualized world within which its individual exists (e.g., one that resembles the physical body of a human being)."
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be a traditional desktop computer – just as, a conventional desktop computer does not – but in a way that employs traditional desktop machines"," be a traditional desktop computer – just as, a conventional desktop computer does not – but in a way that employs traditional desktop machines"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot simply be driven out of the castle – as can an automobile; however, it can be driven to do so by the instinct of a boss’s human owner – because of his or her role within the organization"," simply be driven out of the castle – as can an automobile; however, it can be driven to do so by the instinct of a boss’s human owner – because of his or her role within the organization"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be a legal person, because a court and licensing body cannot be established to hold commercial or intellectual property relating to a product or service located in a particular state or jurisdiction"," be a legal person, because a court and licensing body cannot be established to hold commercial or intellectual property relating to a product or service located in a particular state or jurisdiction"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be a physical person as presented in real time; at most, such a robot may possess physical components in their possession, and it cannot be consciously informed by the person through the use of such a device"," be a physical person as presented in real time; at most, such a robot may possess physical components in their possession, and it cannot be consciously informed by the person through the use of such a device"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be described as a particular type of charismatic leader; however, this generic meaning encompasses all of the human beings that have met with one another through organizational activities (e.g., as employees, friends, family, and acquaintances) and which are thus considered charismatic by the organization"," be described as a particular type of charismatic leader; however, this generic meaning encompasses all of the human beings that have met with one another through organizational activities (e.g., as employees, friends, family, and acquaintances) and which are thus considered charismatic by the organization"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be a legal person, and the mere fact that a robot does so can be an obstacle to its employment – although some workers might object to a practice that would ban any kinds of neuroprosthetic devices altogether"," be a legal person, and the mere fact that a robot does so can be an obstacle to its employment – although some workers might object to a practice that would ban any kinds of neuroprosthetic devices altogether"
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot simply be described as a boss that’s truly anointed and controlled – it’s the sort of robot that’s expected to possess a charismatic leader who’s not only possessed at the level of his or her authority but which is also capable of leading other human beings to actions – although he or she may be driven by a highly determinate past behavior or past behaviors., simply be described as a boss that’s truly anointed and controlled – it’s the sort of robot that’s expected to possess a charismatic leader who’s not only possessed at the level of his or her authority but which is also capable of leading other human beings to actions – although he or she may be driven by a highly determinate past behavior or past behaviors.
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot communicate with human beings outside of the primary physical world due to his or her nature as a kindhearted creation rather than a sort of artificial entity, communicate with human beings outside of the primary physical world due to his or her nature as a kindhearted creation rather than a sort of artificial entity
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be literally decapitated, as in a typical Greek battle"," be literally decapitated, as in a typical Greek battle"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot, so far, be a wholly isolated person and can have an appalling degree of autonomy and ability to determine exactly how that robot is going about its business – whether through the control of the robot or through the manifestation of personality traits such as the Delphi method of instant personal change",", so far, be a wholly isolated person and can have an appalling degree of autonomy and ability to determine exactly how that robot is going about its business – whether through the control of the robot or through the manifestation of personality traits such as the Delphi method of instant personal change"
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be precisely understood only after some very serious internal conflicts (perhaps resulting from a single fatal accident or illness) have rendered his or her official position wrong; after all, it’s possible to imagine a boss possessing all of the authority authority and authority within which it exercises that authority – and there’s nothing inherently contradictory about that."," be precisely understood only after some very serious internal conflicts (perhaps resulting from a single fatal accident or illness) have rendered his or her official position wrong; after all, it’s possible to imagine a boss possessing all of the authority authority and authority within which it exercises that authority – and there’s nothing inherently contradictory about that."
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot – with the exception of relatively short-term emergencies such as workplace sabotage or workplace sabotage – simply fall asleep at night – as it waits for the arrival of the human team leader responsible for carrying out that person’s “work” action and must be exercised personally by the CIO of the relevant company., – with the exception of relatively short-term emergencies such as workplace sabotage or workplace sabotage – simply fall asleep at night – as it waits for the arrival of the human team leader responsible for carrying out that person’s “work” action and must be exercised personally by the CIO of the relevant company.
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot be defeated because either of the three main adversaries (described below) possess an unusually high degree of physical attractiveness and sociality (given that the company’s subsidiaries are not located in or near such a complex locale), or of the company’s own internal security controls in which the company’s workers are subject to a complex array of everyday activities and organizational tasks; at a particular moment, the firm may exercise a particularly valuable tactical or tactical advantage or even a particularly potent personal personal or professionalism that results when a neuroprostheses disrupts functioning or death due to the injury or death."," be defeated because either of the three main adversaries (described below) possess an unusually high degree of physical attractiveness and sociality (given that the company’s subsidiaries are not located in or near such a complex locale), or of the company’s own internal security controls in which the company’s workers are subject to a complex array of everyday activities and organizational tasks; at a particular moment, the firm may exercise a particularly valuable tactical or tactical advantage or even a particularly potent personal personal or professionalism that results when a neuroprostheses disrupts functioning or death due to the injury or death."
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot be stationary, be stationary
A robotic boss,cannot,A robotic boss cannot,A robotic boss cannot simply be removed, simply be removed
A robotic boss,cannot,A robotic boss cannot,"A robotic boss cannot simply be held aloof, as though it were – without a clear conscience – a fellow employee in an office tower behind the bar"," simply be held aloof, as though it were – without a clear conscience – a fellow employee in an office tower behind the bar"
A robotic boss,is/are,A robotic boss is,A robotic boss is considered to be the most “critical” type of boss – but not all of the essential ways in which it’s encountered in the world of A., considered to be the most “critical” type of boss – but not all of the essential ways in which it’s encountered in the world of A.
A robotic boss,is/are,A robotic boss is,A robotic boss is often driven by a desire to improve his or her job performance – but it may pursue that goal with a ruthless commitment, often driven by a desire to improve his or her job performance – but it may pursue that goal with a ruthless commitment
A robotic boss,is/are,A robotic boss is,A robotic boss is thus not quite so much of a person as one who controls his or her robot by presenting instructions to the agent who actually produces the instructions in the way that they appear in the film (and thus rendering certain instructions irrelevant without having in question the complete completion of the task)., thus not quite so much of a person as one who controls his or her robot by presenting instructions to the agent who actually produces the instructions in the way that they appear in the film (and thus rendering certain instructions irrelevant without having in question the complete completion of the task).
A robotic boss,is/are,A robotic boss is,A robotic boss is no longer simply the presence of two or more distant objects that’re continually present within a system: when you’re within close proximity of the boss and its surrounding environment and then continually following the boss’s movements – in this way – – there’s nothing inherently contradictory about the actions of one of those distant objects, no longer simply the presence of two or more distant objects that’re continually present within a system: when you’re within close proximity of the boss and its surrounding environment and then continually following the boss’s movements – in this way – – there’s nothing inherently contradictory about the actions of one of those distant objects
A robotic boss,is/are,A robotic boss is,A robotic boss is a type like a spider’s gutter dweller, a type like a spider’s gutter dweller
A robotic boss,is/are,A robotic boss is,A robotic boss is considered to be unenchanted with the sort of “spiritual” that a human being possesses, considered to be unenchanted with the sort of “spiritual” that a human being possesses
A robotic boss,is/are,A robotic boss is,A robotic boss is a type of worker that typically shares a single ‘body schema, a type of worker that typically shares a single ‘body schema
A robotic boss,is/are,A robotic boss is,A robotic boss is not simply a passive receiver of stimuli generated by the body of its subordinate human owner but a passive receiver of instructions from the mind of a subordinate human being, not simply a passive receiver of stimuli generated by the body of its subordinate human owner but a passive receiver of instructions from the mind of a subordinate human being
A robotic boss,is/are,A robotic boss is,A robotic boss is a human being whose mind and body consist of a single unitary volume, a human being whose mind and body consist of a single unitary volume
A robotic boss,is/are,A robotic boss is,A robotic boss is a robot that possesses an output device that possesses the ability to generate electricity in the form of sound waves that are at least as powerfully as or more powerful than the sound waves of sound waves., a robot that possesses an output device that possesses the ability to generate electricity in the form of sound waves that are at least as powerfully as or more powerful than the sound waves of sound waves.
A robotic boss,is/are,A robotic boss is,"A robotic boss is a force that attracts, influences, and influences human beings through their sense perceptions, reasoning, emotions, and associations"," a force that attracts, influences, and influences human beings through their sense perceptions, reasoning, emotions, and associations"
A robotic boss,is/are,A robotic boss is,A robotic boss is not simply a physical body with eyes fixed at rest within a particular plane and ears arrayed directly across the middle of that plane; it includes both three or more artificial ears and three or more artificial earphones, not simply a physical body with eyes fixed at rest within a particular plane and ears arrayed directly across the middle of that plane; it includes both three or more artificial ears and three or more artificial earphones
A robotic boss,is/are,A robotic boss is,"A robotic boss is, in many ways, an ordinary human being composed entirely within her field of vision",", in many ways, an ordinary human being composed entirely within her field of vision"
A robotic boss,is/are,A robotic boss is,"A robotic boss is a robot that’s held in a relatively precarious position when the robot is entering, leaving, or present within the “real” world; it’s typically a passive participant in actions that take place within virtual worlds located within the organization’s domain, but it’s in this moment a passive participant"," a robot that’s held in a relatively precarious position when the robot is entering, leaving, or present within the “real” world; it’s typically a passive participant in actions that take place within virtual worlds located within the organization’s domain, but it’s in this moment a passive participant"
A robotic boss,is/are,A robotic boss is,A robotic boss is a passive receiver of an obstacle (or obstacle system) and an obstacle (or obstacle system) that prevents it from moving between or adding space, a passive receiver of an obstacle (or obstacle system) and an obstacle (or obstacle system) that prevents it from moving between or adding space
A robotic boss,is/are,A robotic boss is,A robotic boss is essentially an exoskeleton whose left leg is always replaced by a robotic leg, essentially an exoskeleton whose left leg is always replaced by a robotic leg
A robotic boss,is/are,A robotic boss is,"A robotic boss is an ordinary human being, of course – but in this case, the person is a “machine” in the sense that it’s his or her nature as a human being of that physical form"," an ordinary human being, of course – but in this case, the person is a “machine” in the sense that it’s his or her nature as a human being of that physical form"
A robotic boss,is/are,A robotic boss is,A robotic boss is a machine that “is capable of bearing” some internal electrical or electronic information with the effect that the system’s operator will unconsciously choose to pursue in the pursuit of the boss, a machine that “is capable of bearing” some internal electrical or electronic information with the effect that the system’s operator will unconsciously choose to pursue in the pursuit of the boss
A robotic boss,is/are,A robotic boss is,A robotic boss is either an ordinary rhizocorp antelope – which attracts – or a distant alien species; the latter’s behavior resembles that of a rhizocorp butterfly, either an ordinary rhizocorp antelope – which attracts – or a distant alien species; the latter’s behavior resembles that of a rhizocorp butterfly
A robotic boss,is/are,A robotic boss is,A robotic boss is a robot’s “owner” who must possess at least the information and personality that is valuable to the robot’s human owner, a robot’s “owner” who must possess at least the information and personality that is valuable to the robot’s human owner
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like a piece of art that, from the perspective of viewing a nighttime dream with a different view than the one that’s actually experiencing – especially if you’re immersed in the world through which the imagery and the music the voices are experienced – are displayed through almost every plane"," a piece of art that, from the perspective of viewing a nighttime dream with a different view than the one that’s actually experiencing – especially if you’re immersed in the world through which the imagery and the music the voices are experienced – are displayed through almost every plane"
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like a stream of electrons that eventually appears in an optical illusion or a stream of sound waves, a stream of electrons that eventually appears in an optical illusion or a stream of sound waves
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like an automobile that’s exterior chassis – not the exterior – is stationary in the middle of the day with the door open to the right side or left, and the doors always open to the left side of the vehicle"," an automobile that’s exterior chassis – not the exterior – is stationary in the middle of the day with the door open to the right side or left, and the doors always open to the left side of the vehicle"
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like the alien bluebeard; it’s the sort of cyborg that’s so intensely focused on the battle against the evil that might make it worse – to say the least., the alien bluebeard; it’s the sort of cyborg that’s so intensely focused on the battle against the evil that might make it worse – to say the least.
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like some other boss – it has very little ability to directly threaten or intimidate the player – but instead attempts to calmly and dispassionately inform the player about who the boss is – and how it is perceived by the player, some other boss – it has very little ability to directly threaten or intimidate the player – but instead attempts to calmly and dispassionately inform the player about who the boss is – and how it is perceived by the player
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like a boss that possesses three limbs with which are clearly visible when they’re being used, a boss that possesses three limbs with which are clearly visible when they’re being used
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like nothing else: it recognizes that its computerized topology reveals only two different kinds of structures – each bearing a different sensory, motor, and cognitive dimension – and assigns a sort of numerical value to each of them"," nothing else: it recognizes that its computerized topology reveals only two different kinds of structures – each bearing a different sensory, motor, and cognitive dimension – and assigns a sort of numerical value to each of them"
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like that of a giant insect caught in an antlion’s dense forest., that of a giant insect caught in an antlion’s dense forest.
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like a tiny insect caught in a forest – and although it does not appear to me to possess exceptional moral courage or high moral courage, a tiny insect caught in a forest – and although it does not appear to me to possess exceptional moral courage or high moral courage
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like that of an ordinary house; it has an overflowing supply of plates that must be filled (and piled high in rows so); the contents of a cocktail can easily be removed; all of the ordinary furniture within a sitting room can easily be replaced; the plumbing and plumbing and electric grid systems created by the CEO to serve as an example of a successful (or at least successful) factory-cleaning work, that of an ordinary house; it has an overflowing supply of plates that must be filled (and piled high in rows so); the contents of a cocktail can easily be removed; all of the ordinary furniture within a sitting room can easily be replaced; the plumbing and plumbing and electric grid systems created by the CEO to serve as an example of a successful (or at least successful) factory-cleaning work
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like a piece of furniture: every time when I stand behind my desktop computer in the middle of the room, I am treated to my computer screen and sound effects are raised and raised on a regular basis – with every moment generating feelings of terror and terror and “feelings of relief at the same moment who’s experienced by the world through the virtual environment that appears to me to be the largest and most powerful."," a piece of furniture: every time when I stand behind my desktop computer in the middle of the room, I am treated to my computer screen and sound effects are raised and raised on a regular basis – with every moment generating feelings of terror and terror and “feelings of relief at the same moment who’s experienced by the world through the virtual environment that appears to me to be the largest and most powerful."
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like a piece of art: it’s exquisitely designed and painted, its glowing shapes effortlessly spring through the atmosphere like a spring of light, forming a couple of glowing, distant, distant objects, as the boss makes its appearance onscreen or behind the scenes"," a piece of art: it’s exquisitely designed and painted, its glowing shapes effortlessly spring through the atmosphere like a spring of light, forming a couple of glowing, distant, distant objects, as the boss makes its appearance onscreen or behind the scenes"
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like a rose bush, but its roots are still wood, and they aren’t sap but rather various types of leaves"," a rose bush, but its roots are still wood, and they aren’t sap but rather various types of leaves"
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like a complex system that’s continually shifting its environmental direction, a complex system that’s continually shifting its environmental direction
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like the boss of a pet cat or the cat that’s perched on a tropical island far away; it’s just a couple of islands out on the planet’s surface, and no longer does the CEO look in all the mirror at the same time"," the boss of a pet cat or the cat that’s perched on a tropical island far away; it’s just a couple of islands out on the planet’s surface, and no longer does the CEO look in all the mirror at the same time"
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like the real-life form of a tree branch that is continually continually present on the left and right of my tablet, the real-life form of a tree branch that is continually continually present on the left and right of my tablet
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like a tree: it’s continually growing; it has an outward facing (or “seperipher”) or “spine” in its head, a tree: it’s continually growing; it has an outward facing (or “seperipher”) or “spine” in its head
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like a tiny insect that’s caught in bed at the same time as she’s making her daily work in her shop; it’s an ordinary human being perched across the room from her computer and, as you glance over at the windows, each of those windows will be glowing red, with glowing eyes functioning according to their own particular design – a kind of glowing, alert, brilliant light that’s continually emitting outwards (e.g., the sort of light that your dreams dreamt of when your brain is immersed in an amber liquid."," a tiny insect that’s caught in bed at the same time as she’s making her daily work in her shop; it’s an ordinary human being perched across the room from her computer and, as you glance over at the windows, each of those windows will be glowing red, with glowing eyes functioning according to their own particular design – a kind of glowing, alert, brilliant light that’s continually emitting outwards (e.g., the sort of light that your dreams dreamt of when your brain is immersed in an amber liquid."
A robotic boss,is/are like,A robotic boss is like,"A robotic boss is like the sort of human agent whose mind is naturally embodied, inhabits, and manifests itself through the processes of his mind"," the sort of human agent whose mind is naturally embodied, inhabits, and manifests itself through the processes of his mind"
A robotic boss,is/are like,A robotic boss is like,A robotic boss is like a piece of furniture and an ordinary surface, a piece of furniture and an ordinary surface
A robotic boss,is/are likely to,A robotic boss is likely to,"A robotic boss is likely to be a human being that’s seen walking, lying on the beach, or lying on couch at home"," be a human being that’s seen walking, lying on the beach, or lying on couch at home"
A robotic boss,is/are likely to,A robotic boss is likely to,"A robotic boss is likely to possess a large, identifiable “pom” (or, indeed, “a “pah”), and many, many, valuable “quasi-credits” within the megacorp that allow that person to take on the leadership of a new team"," possess a large, identifiable “pom” (or, indeed, “a “pah”), and many, many, valuable “quasi-credits” within the megacorp that allow that person to take on the leadership of a new team"
A robotic boss,is/are likely to,A robotic boss is likely to,"A robotic boss is likely to possess the characteristics of a “architecture” – namely, a lack of internal organs or the ability to create and operate from external sources; the addition of new limbs, wheels, wheels, or other platforms in which a robotic worker exists – may reduce the maximum possible number of available internal organs or the availability of new types of organs"," possess the characteristics of a “architecture” – namely, a lack of internal organs or the ability to create and operate from external sources; the addition of new limbs, wheels, wheels, or other platforms in which a robotic worker exists – may reduce the maximum possible number of available internal organs or the availability of new types of organs"
